Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Key Innovation/Significance,REF URL,Price,Price Range
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,Makita LS1016L,Makita,1.Benchtop,Dual,Rail,254,1800,3200,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/452292/Makita-Ls1016.html,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,Makita LS1013L,Makita,1.Benchtop,Dual,Rail,254,1560,2700,Corded,Soft Start,Laser,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG1TxH0LT83L7F_qZ7Q-w6eVrHHPAquoJPXgD5M5HcJN2lv8yuiRmdwGLY_dRZnSNEsXeZuAZHgHYVM8FcgXOTIWAR_4-FS6PCBvPgaBdhTkxriIYR9dkb7tLrTxhd4T5HxxpoEvJwXa5oydsAmtscUbi5yquDDn5ZW,,
,Ø279~333mm,"Single
Compound
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,R4120,Ridgid,1.Benchtop,Single,Compound,305,1800,4000,Corded,Soft Start,Laser,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZRLhw3APHYzNGBUpMhdMqYxQQuks4WW0LlPYluLfxcK3lfIPBTjtKPUYLjEb7uoIupwOWiQ_zUY4GFrbvaOvhLUzEtQvFOQUknWGmSPvH8JPXguQT9FIEzWPm_-W-NrpW9vL6ZpVtm00vTdx7W0mUFTavVvFn_UBvBdnj8LEh8p7FsbnDfjr5pLUHg_n0zw47_nGr70gw4uA6vME=,,
,Ø222~267mm,"Single
Compound
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,R4110,Ridgid,1.Benchtop,Single,Compound,254,1800,5000,Corded,,Laser,,good,https://www.ereplacementparts.com/ridgid-r4110-miter-saw-parts-c-7929_8171_8183.html,,
,Ø191~222mm,"Single
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,HM 80 LXU (2009 版),Scheppach,1.Benchtop,Single,Rail,210,1500,5000,Corded,,Laser,,good,https://www.manualslib.com/manual/581532/Scheppach-Hm80l.html,,
,Ø222~267mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2009,HM 100 s (TKS),Scheppach,3.Multi Function,Single,Compound,254,1800,5000,Corded,,-,,good,https://www.manualslib.com/manual/1209353/Scheppach-Hm100mp.html,,
,Ø279~333mm,"Dual
Robust Arm
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Bosch GCM 12 SD,Bosch,1.Benchtop,Dual,Robust Arm,305,1800,3800,Corded,Soft Start,-,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE5xkPVydYwJDYsBdH16reLd1v5I9cGp7Ezo_FFufzDPOMovwnyhje79iubRr_ygupCWKFi1ijkmPcSaKa3U_qjAyZXK12qymRrUPnu1yXGVSrDV6ODHBPTm4TroeqbYs_2kjqeewzWXV0mbuTytGA_t6LnFVhak_3FXv2iYisNBfmPjuwNflpxbjgHAUlnilU0ogEbhk9oWlCrlvPIu2mnmKBDhwMVUNw=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEFcmI1qsJbc3dX2KT9OppuB0bmqyyGkDBkB3R57HFqOKsDJrjyPzgeQdk5cGutgHIrYu62h3wPmULSVVYjhSO7yD8i6GXWVyGoqBViMijKjGxIeS4WN4FcPS80lSpbs5cAFmAEjAqP8X-h58oludvx59bF_tW2",,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Bosch 5412L (NA),Bosch,1.Benchtop,Dual,Rail,305,1800,3800,Corded,Soft Start,Laser,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHjQCVGEj1OqkvIYy6R596qyYoKhYc8PMbl0My93nXXLk0yAeLUe-zCIbosJGdizomdmlCORJqbn-PfHlhhIYdcOvmX8J61PnNGBVsA8XLKfu6Mi2lUl_XDLAqsusN4pS8lyhsdfBQ-iSLKw58U64NfZAsyb4ynkw==,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Bosch 4410L (NA),Bosch,1.Benchtop,Dual,Rail,254,1800,4800,Corded,Soft Start,Laser,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHjQCVGEj1OqkvIYy6R596qyYoKhYc8PMbl0My93nXXLk0yAeLUe-zCIbosJGdizomdmlCORJqbn-PfHlhhIYdcOvmX8J61PnNGBVsA8XLKfu6Mi2lUl_XDLAqsusN4pS8lyhsdfBQ-iSLKw58U64NfZAsyb4ynkw==,,
,Ø222~267mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,36-075,Delta,1.Benchtop,Single,Compound,254,1560,5200,Corded,,-,,good,https://www.manualslib.com/manual/40838/Delta-36-075.html,,
,,"Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Bavaria BGS,Einhell,1.Benchtop,,,,,,Corded,,-,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFvB3jXycgSl-JWvFrQiZ1z--rHw6R1GpeqMnLCMMY2A8lnUF0lxjDF4rzYBv0zF5e8SEQz4Lk8bNRUBzAS4hQ1d4zbq5YgPm3AS8_qfitZH94u1sMkDiq2IjGO367M70BOq3b4l8EEDyo0-fAsocU=,,
,Ø222~267mm,"Dual
Rail-Front
Corded
Soft Start
Dual laser
E Brake, Speed Ctrl, ",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Festool Kapex KS 88 (NA),Festool,1.Benchtop,Dual,Rail-Front,260,1600,1400-3400,Corded,Soft Start,Dual laser,"E Brake, Speed Ctrl, ",good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG27liFsj4N_Aa3JJcXBumgLvoms9CPWh_h5qQNukXNDasaAOtKE2_87vSQ5jjvLDiwc0pbU1T1AOuX92GCg8Xe5DOMDr1fXAkK-a6ffC0XMVzz25HUrvFYs1S6BfBqr_kPS677R9s01_K2LuVJwTsUIls=,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Makita LS1216L,Makita,1.Benchtop,Dual,Rail,305,1650,3200,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/452292/Makita-Ls1016.html,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,KGS 254 i PLUS,Metabo,1.Benchtop,Dual,Rail,254,2200,4500,Corded,Soft Start,Laser,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGN9mp0Zz4TYNVy2TCGUPDTKs7J5UCNrfqjhJ-UEnprQtTAnKv9fClSnMr4QzmmY05fhNS4VEk3ydqQFywk4CnuZ_qZWATgBiKTezwNkn3O9XoENGCvBor_0tJK55w75t1_7ykNRKs=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHLO7Fspsaj8mxjDfxQsnhzxnM6Wh8VfgG2_aFLwynXgXY1jmJd70apdSVYgNgUWRd_jai51NwWAN08dVyK__FDfCkt6PMrsXi5E9C0W11p-iwFDvdNJk5Kh-_4iYakfBcI3QXEYIjvmD4BUvf4uQp7Qpr2lzYls1d3GrDGGdk0hHSMpffD_2Q_k0KyF5H9peBx",,
,Ø279~333mm,"Dual
Compound
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Milwaukee 6950-20 (NA),Milwaukee,1.Benchtop,Dual,Compound,305,1800,3200,Corded,Soft Start,-,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH-qX2pofNGDWYZnHF6SZGVPu2Z4sonCmJ9vIeUhaVslIy9dk4VinNMBIC4TIjXg5R9Q0NvcIl8mmYoeT-II92q7aUf4iHmaUzoLXhi0JcVrXA1Z8kB3nFvFXShK3tJGDcghOWBaJ5Cdia-829217d0F0WULOcjpG_WSli3oQ==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE0Dc-q3KXcI9ziQqBdTTsLF3NVpezdhn61V3pibcA4FpB-o4tZ24Z8pPZE4jJEJlXG6y3fs7ERyzVOUo_4IsfLq4nvgwdgMq8HgLDNySt1_8X7GxDqO4l4emvuFgQQb9_Jxgp5mnk=",,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Ridgid MS1290LZA,Ridgid,1.Benchtop,Dual,Rail,305,1800,4000,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/140232/Ridgid-Ms1290lza.html,,
,Ø222~267mm,"Single
Compound
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,Ridgid MS1065LZA,Ridgid,1.Benchtop,Single,Compound,254,1800,,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/140228/Ridgid-Ms1065lz.html,,
,Ø191~222mm,"Single
Rail
Corded
Soft Start
Laser
Speed Ctrl",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,HM 80 MP,Scheppach,1.Benchtop,Single,Rail,216,1700,6500,Corded,Soft Start,Laser,Speed Ctrl,good,https://www.manualslib.com/products/Scheppach-Hm80mp-3556534.html,,
,Ø222~267mm,"Single
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,MMS 10,Scheppach,1.Benchtop,Single,Rail,254,1800,5000,Corded,,Laser,,good,https://www.manualslib.com/manual/581552/Scheppach-Mms-10.html,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2010,HM 140 L,Scheppach,1.Benchtop,Dual,Rail,305,2000,3800,Corded,Soft Start,Laser,,good,https://scheppach.co.uk/product/hm140l-sliding-mitre-saw-with-laser-2000w-230v-305mm-blade-5901218901/,,
,Ø191~222mm,"Single
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,Bosch GCM 8 SJL,Bosch,1.Benchtop,Single,Rail,216,1600,5500,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/473727/Bosch-Gcm-8-Sjl.html,,
,Ø222~267mm,"Single
Rail
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,Bosch GCM 10 S,Bosch,1.Benchtop,Single,Rail,254,1800,4700,Corded,,-,,good,https://www.manualslib.com/manual/356515/Bosch-Gcm-10-Sd.html,,
,Ø222~267mm,"Single
Rail
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,Bosch 4405 (NA),Bosch,1.Benchtop,Single,Rail,254,1560,4700,Corded,,-,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGjiPVCZnm8THwclaND0_Gmka9P2pqN404P5pA5ahrLeZcd1UHpWtYm5zuxfvegUdbVv9_31RKmw8WSloVq70JScJELIUZStrgxrjEvoFc7mLsHAQ91VZscVODlen1sLuj3KTD_zjuXRwJNKfXkfGI9bvT67BKRQPV1Zl1LmmKFzNA_omE_whJYeJGmQQ0XI3C6LI1LLJLzxrWmvA6VIuBo8kYTh9Yn-B4=,,
,Ø222~267mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,36-075 (NA),Delta,1.Benchtop,Single,Compound,254,1560,5200,Corded,,-,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH6xz23Ioa0gfESqqhqgESG_hU_Sf9tb-nwARLEA4KVe2KQHk0ICl4PmYscJAtpYtjHXkUvht9SdM-XTd2mkxolywGlhKr7VJB9vW_R4OrfRRX5KSzjyn8_uAA4TQEQHoD4IoY75_Cc7paVnb-jllPckJ0LZvDdVjyuVasKCg==,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Shadow
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,DeWalt DWS780,DeWalt,1.Benchtop,Dual,Rail,305,1675,3800,Corded,Soft Start,Shadow,E Brake,good,https://www.manualslib.com/manual/444229/Dewalt-Dws780.html,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,DeWalt DWS779,DeWalt,1.Benchtop,Dual,Rail,305,1675,3800,Corded,Soft Start,-,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGZGs595cDRS8Jtdx_8V_DaDW4FViI-6lK6_dOAkOCj65KGZoyG7ERtuaWec7B9jH50khpw3XL1lMoAvjzR5PmM3FPIMYckTluE95l7xbKo7WkTFq2z5G_HuUFl4tPcD-wdJOmFE9lw,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHe2CC3B9LsLy9xPGvm_PtNNFLFFV1LyESEznmh8hECYKQOs1xxcLUQ72N7BJLkFQoWoEp_LLhcnGXoelEsMSthJhvuOeYtqqYGfCTdl7AOOLK7c9vU5zJngKPdrjsTCMRVQoiO0_RpqGPXlBn8pfWUECEJwHI-jqtn803wnMUY9PyvwamgRmROrG5ZYOvAJUayJ3v3KpRimwhz19SRDYRX4zMG5stJdkPMGqgP",,
,Ø191~222mm,"Dual
Rail
Corded
Laser
VTC",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,TC-SM 2131/2 Dual,Einhell,1.Benchtop,Dual,Rail,210,1800,4900,Corded,,Laser,VTC,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEj9enNAdR1myRb9Y-woUuaOoK6JT8ivh5cDGbo6E-FUK_YaxvAF-r3jWZIjW88P_i5B-2W138TVepIdzJn9Q8yaQGPn912WVhmYVWjHRM0tjRdXYxDn36bBj8O_iH-VbNtbJtrqzqoKNotAY2bCR4n,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHG76z3m7sv9ySNOmkSL6OHZUt72Rhl8fEraBG9MjzYLY2Fy9tvLhzp3ssMokj0_vtwt8VWLqeGw-YzeuAoty0ZqT36zWC4X8bUXJO-JoMuPS459gHjLlD9loSLsx1qe_pt19EH8kIeCelOLDIiAdj9LfNkwjJXgaLTpNOEynzN6q2yNxzPOFeQ1Rloc-2GAejbee08GMRcNKRVVJA2",,
,Ø191~222mm,"Dual
Rail
Corded
Soft Start
Laser
VTC",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,TE-SM 2131 Dual,Einhell,1.Benchtop,Dual,Rail,210,1600,5000,Corded,Soft Start,Laser,VTC,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGlLQpfj5DvO7_DtT5ZroXWwSXhuBDsdTBRfRnAGuoznEYvpxa1tqe2ajN7TlNum1PLUvYWQtGk44cAz76DchP4Mo6FPReaqsTKMQqC4pYXXk0Q7ERLsZmhwvwnfNdqaMfy4zehkQ==,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,Makita LS1018L,Makita,1.Benchtop,Dual,Rail,254,1560,4300,Corded,Soft Start,Laser,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFfMvSbxiUqTDC9oY8rqnhYkt7C6lGyDiOFAmYJSoCRe5rxdxBG9cFQcwIdBg8OJxP8Evb5b1QSiUGADM6vfk6vtXdtniZIuohzwi9mOW_B6dr_TAYLs7SIIQ6cKrFcq3Bq3tFYjzU=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHeBuWIHWvj6h0ZFJrHtdEFmMq7wQ-khd_BE6Zir671gxAKhhnJYzKzHg0U4mVibO3XxpVGVreS9Si4AEOYBQvWlCdgydRDTDHMEHWKS1qWYFugT2bVfTYe5_9LHv6V4JlaAxg6q-rnpA==",,
,Ø191~222mm,"Single
Rail
Corded
-
Laser
Speed Ctrl",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,KGSV 216 M,Metabo,1.Benchtop,Single,Rail,216,1500,2500-5500,Corded,-,Laser,Speed Ctrl,good,https://www.metabo.com/com/en/tools/cutting-sanding-milling/wood-processing/mitre-saws/kgsv-216-m-619216000-sliding-mitre-saw.html,,
,Ø279~333mm,"Single
Compound
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,Ridgid R4120,Ridgid,1.Benchtop,Single,Compound,305,1800,4000,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/452818/Ridgid-R4120.html,,
,Ø191~222mm,"Single
Rail
Corded
Laser
Speed Ctrl, Shadow",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2011,HM 90 MP,Scheppach,1.Benchtop,Single,Rail,216,1700,4500,Corded,,Laser,"Speed Ctrl, Shadow",good,https://www.manualslib.com/manual/1301297/Scheppach-Hm90mp.html,,
,Ø279~333mm,"Dual
Robust Arm
Corded
Soft Start
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Bosch GCM 12 GDL,Bosch,1.Benchtop,Dual,Robust Arm,305,2000,4000,Corded,Soft Start,-,,good,https://www.bosch-professional.com/gb/en/products/gcm-12-gdl-0601B23600,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Bosch GCM 10 SD,Bosch,1.Benchtop,Dual,Rail,254,1800,4600,Corded,Soft Start,-,,good,https://www.manualslib.com/manual/356515/Bosch-Gcm-10-Sd.html,,
,Ø191~222mm,"Single
Rail
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Bosch GCM 800 SJ,Bosch,1.Benchtop,Single,Rail,216,1400,5500,Corded,,-,E Brake,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHjfmN88poDtOuBg_R5Tz4w8ZDxXPYjH_o3pz_N6ruQ6a2J0_C18eqkP7nMc85YToSzvYAW8jRROdx_Lc_e_xVM-d9zvlvdSkeePFCm0muku7410YniI0Fh3Ck612oKoynC-h87,,
,Ø222~267mm,"Single
Compound
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,S26-260L,Delta,1.Benchtop,Single,Compound,254,1800,5500,Corded,,Laser,,good,https://www.manualslib.com/manual/815777/Delta-S26-260l.html,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake, ",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,TE-SM 2534 Dual,Einhell,1.Benchtop,Dual,Rail,250,1800,5100,Corded,Soft Start,Laser,"E Brake, ",good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFsUfXvGe3N_iDjV0Y2KyxiB7bQv3RmzZmIPq1gprT3n2Sl0O18UOomxtJHtMobvlK3oUBz7ZVip92ABvWOUoaAEcuRcucBMqRbia1URR3CiLLeeLzMGS_6ZXL0JX35nsO4eO3NCOQ-NZ0c1kNmy0c=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHoJ7PyLAszfEHTYhyKw24VA1CCaT8EuDeuGVQLd66xk5VXqfh2FmcJyZrF46FAcQTAbYv1DmmJiyXmTxGzBThzGgaVrm28zGMQEGfpV_VxKoD_DeMRTy_pcYr_i0ijbV3Dy68oTGg-nSvF5NwWu0VGJEyjzVp_ZzmJvBPjRG0xjOIgeM8QOC-sSLh-gbJWf7zG5mfvewplyEg=",,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,TC-SM 2534/1,Einhell,1.Benchtop,Dual,Rail,250,2100,4000,Corded,Soft Start,Laser,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGdl8td7HA-gQQlRpiG-dZyQ5Czy2W9BeEIIOJEiP8opoRLzaDVyrwgWiKxnzojJ4QXkYFsO4xQit0jkX9Jd3WZW1EdhLdPlAKMUzi7OjLW-Pmhg_Wl784YFL79kYULB9yRgZLAWhYzasoUHrbZ579uWQ==,,
,Ø191~222mm,"Dual
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,BT-SM 2131,Einhell,1.Benchtop,Dual,Rail,210,1500,4900,Corded,,Laser,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHoJ7PyLAszfEHTYhyKw24VA1CCaT8EuDeuGVQLd66xk5VXqfh2FmcJyZrF46FAcQTAbYv1DmmJiyXmTxGzBThzGgaVrm28zGMQEGfpV_VxKoD_DeMRTy_pcYr_i0ijbV3Dy68oTGg-nSvF5NwWu0VGJEyjzVp_ZzmJvBPjRG0xjOIgeM8QOC-sSLh-gbJWf7zG5mfvewplyEg=,,
,,Interface,2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Festool UG-Kapex,Festool,1.Benchtop,,,,,,,,,Interface,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFVmVfanGZIbkjNebQoRdOJ-LdxzhI07sfFOCZjD65-eM1RkG5fnTl1WpxTSaaggxcEQ1JJPHel-Gg9KPvlt2Lkkm3BytenZVSAwwF0Dl0878zQeVxwwVmYnEhawlFCVd_SJSfFDrpGRzFGgWXV1wuftVhXaobia-sltgGD5N4eNHzgcFNvY71YNqvLPc2bcYdm0vgxaZA=,,
,Ø127~191mm,"Single
Rail
Corded
-
-
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Makita LS0714 (EU),Makita,1.Benchtop,Single,Rail,190,1010,6000,Corded,-,-,-,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFx4EEDAN0P-KqsALCN_fMfsTs4wHcgOxojMHApHUXw_AOh2xh82t-u48HWP6JXeOKQcSUwCIVuwl6NXVcnCbWG760dm3eJ6LZ_Gl9bS1ZBa_e-FhmjtMnYNx_CyeoWJLMDcjEu-uI=,,
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,KGS 254 i PLUS (NA),Metabo,1.Benchtop,Dual,Rail,254,2200,4500,Corded,Soft Start,Laser,E Brake,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEqiFQEn21iPDBZ97WVSAG_y1kMQIqvD_PAQgm-gacGE9PQ8dmwTm92p6WMSDwNfpnu3q38SXQuWRRezqrp1CQedgXAfDWSXeHVd64lzDFvnH9EJFz5fH1nztQjKbMBd2JW7CAUQR4=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHcxw3O-Xh3wJCDyQohdcnDxvAjc9OfV_C2bA5n7yB6Bgm9OD59wLVajKP5BMNPnXI7apyZFhjZvVlY2j3x7ekdMlRIT3bbtVM7qyU9LWs7XY2Euwhywf71fBcRJsOmlnj_SV08Jys6uM9X460C4_qsvi9IC-Z7dzkIyP5QDsz1pREo9jRAhAUnMpLVvLu1GF_g",,
,,Accessory,2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Milwaukee UG-Stand,Milwaukee,,,,,,,,,,Accessory,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFVmVfanGZIbkjNebQoRdOJ-LdxzhI07sfFOCZjD65-eM1RkG5fnTl1WpxTSaaggxcEQ1JJPHel-Gg9KPvlt2Lkkm3BytenZVSAwwF0Dl0878zQeVxwwVmYnEhawlFCVd_SJSfFDrpGRzFGgWXV1wuftVhXaobia-sltgGD5N4eNHzgcFNvY71YNqvLPc2bcYdm0vgxaZA=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFVmVfanGZIbkjNebQoRdOJ-LdxzhI07sfFOCZjD65-eM1RkG5fnTl1WpxTSaaggxcEQ1JJPHel-Gg9KPvlt2Lkkm3BytenZVSAwwF0Dl0878zQeVxwwVmYnEhawlFCVd_SJSfFDrpGRzFGgWXV1wuftVhXaobia-sltgGD5N4eNHzgcFNvY71YNqvLPc2bcYdm0vgxaZA=",,
,Ø279~333mm,"Single
Compound
Corded
Soft Start
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,Ridgid R4120 (NA),Ridgid,1.Benchtop,Single,Compound,305,1800,4000,Corded,Soft Start,Laser,,good,https://www.manualslib.com/manual/452818/Ridgid-R4120.html,,
,Ø222~267mm,"Single
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,HM 110 MP,Scheppach,1.Benchtop,Single,Rail,254,2000,4800,Corded,,Laser,,good,https://www.toolsidee.com/Product/scheppach-hm110mp-semi-professional-pull-off-cross-cut-and-mitre-saw.html,,
,Ø222~267mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,HM 100 T,Scheppach,3.Multi Function,Single,Compound,254,1800,5000,Corded,,-,,good,https://www.manualslib.com/manual/1209353/Scheppach-Hm100mp.html,,
,Ø191~222mm,"Single
Rail
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,HM 80 MP (2012 版),Scheppach,1.Benchtop,Single,Rail,216,1700,3800,Corded,,Laser,,good,https://www.manualslib.com/manual/581534/Scheppach-Kgz-251.html,,
,Ø222~267mm,"Single
Compound
Corded
Laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2012,HM 100 LU,Scheppach,1.Benchtop,Single,Compound,254,1800,5000,Corded,,Laser,,good,https://www.manualslib.com/manual/800263/Scheppach-Hm100lu.html,,
